,out_degree,in_degree,out_degree_centrality,in_degree_centrality,avg_trust_given,avg_trust_received,total_trust_given,total_trust_received,trust_ratio,positive_trust_given_count,negative_trust_given_count,positive_trust_received_count,negative_trust_received_count,positive_trust_given_avg,negative_trust_given_avg,trust_selectivity,betweenness_centrality,eigenvector_centrality,community
430,9,6,0.002380322665961386,0.0015868817773075907,3.2222222222222223,3.1666666666666665,29,19,1.5263157894736843,6,3,4,2,7.0,-4.333333333333333,40.617283950617285,0.0005139973695350973,-0.0009759842740657308,5
1,490,397,0.12959534514678658,0.10499867759851893,1.2326530612244897,1.8841309823677581,604,748,0.8074866310160428,486,4,397,0,1.2510288065843622,-1.0,0.6642399000416497,0.12135180484989781,0.09963635947406001,5
3134,4,3,0.0010579211848717272,0.0007934408886537954,3.25,0.3333333333333333,13,1,13.0,4,0,2,1,3.25,0.0,15.1875,6.926452580346197e-06,0.0007807726384449545,5
3026,1,1,0.0002644802962179318,0.0002644802962179318,10.0,1.0,10,1,10.0,1,0,1,0,10.0,0.0,0.0,0.0,0.0010665628613808571,5
3010,1,1,0.0002644802962179318,0.0002644802962179318,10.0,1.0,10,1,10.0,1,0,1,0,10.0,0.0,0.0,0.0,0.0010665628613808571,5
804,7,7,0.0018513620735255225,0.0018513620735255225,2.7142857142857144,1.4285714285714286,19,10,1.9,7,0,7,0,2.7142857142857144,0.0,9.346938775510205,3.740428083668153e-05,0.0021806777623219254,5
160,10,9,0.002644802962179318,0.002380322665961386,4.1,5.222222222222222,41,47,0.8723404255319149,10,0,9,0,4.1,0.0,11.09,0.00039148956575799586,0.012938371681435292,5
95,122,101,0.03226659613858768,0.02671250991801111,0.16393442622950818,0.7326732673267327,20,74,0.2702702702702703,98,24,90,11,1.653061224489796,-5.916666666666667,14.743617307175489,0.018419424336171525,0.1313499268988243,3
377,4,4,0.0010579211848717272,0.0010579211848717272,7.0,5.5,28,22,1.2727272727272727,4,0,4,0,7.0,0.0,13.5,0.00028420227540479695,0.0011807564487852221,5
888,5,4,0.001322401481089659,0.0010579211848717272,2.8,2.25,14,9,1.5555555555555556,5,0,4,0,2.8,0.0,4.5600000000000005,0.0001440978132918638,0.005031417726298791,5
89,46,49,0.012166093626024863,0.012959534514678657,1.3043478260869565,1.5510204081632653,60,76,0.7894736842105263,44,2,48,1,1.8181818181818181,-10.0,9.603024574669188,0.012738987570788372,0.028419854153405467,8
1901,1,1,0.0002644802962179318,0.0002644802962179318,6.0,3.0,6,3,2.0,1,0,1,0,6.0,0.0,0.0,0.0,0.003199688584142571,5
161,36,35,0.009521290663845544,0.009256810367627613,1.5,1.3428571428571427,54,47,1.148936170212766,35,1,34,1,1.5714285714285714,-1.0,1.5277777777777777,0.0007488589557973765,0.011612951567539217,5
256,30,30,0.007934408886537955,0.007934408886537955,1.2333333333333334,1.0666666666666667,37,32,1.15625,29,1,29,1,1.6206896551724137,-10.0,5.578888888888889,0.0021571294467520614,0.010014440880314742,10
351,16,14,0.004231684739486909,0.003702724147051045,1.8125,1.7142857142857142,29,24,1.2083333333333333,16,0,14,0,1.8125,0.0,1.65234375,0.000679967015274692,0.012945796313767606,2
3329,1,1,0.0002644802962179318,0.0002644802962179318,5.0,1.0,5,1,5.0,1,0,1,0,5.0,0.0,0.0,0.0,0.0010665628613808571,5
3341,1,1,0.0002644802962179318,0.0002644802962179318,5.0,1.0,5,1,5.0,1,0,1,0,5.0,0.0,0.0,0.0,0.0010665628613808571,5
649,13,14,0.0034382438508331133,0.003702724147051045,1.4615384615384615,0.9285714285714286,19,13,1.4615384615384615,13,0,13,1,1.4615384615384615,0.0,1.1715976331360947,0.00013884325243902155,0.00389828425578881,5
1583,1,1,0.0002644802962179318,0.0002644802962179318,5.0,4.0,5,4,1.25,1,0,1,0,5.0,0.0,0.0,0.0,0.0042662514455234285,5
87,59,54,0.015604337476857976,0.014281935995768318,0.5254237288135594,1.4259259259259258,31,77,0.4025974025974026,51,8,54,0,1.4705882352941178,-5.5,8.452743464521687,0.0052345700659790235,0.01794056919543683,2
37,54,46,0.014281935995768318,0.012166093626024863,2.759259259259259,3.217391304347826,149,148,1.0067567567567568,51,3,46,0,3.4705882352941178,-9.333333333333334,13.997599451303154,0.006532667366201538,0.09664245316694228,8
309,23,23,0.006083046813012432,0.006083046813012432,1.3043478260869565,1.173913043478261,30,27,1.1111111111111112,23,0,22,1,1.3043478260869565,0.0,0.820415879017013,0.001077790032746577,0.010934066103765124,5
821,4,4,0.0010579211848717272,0.0010579211848717272,3.0,2.5,12,10,1.2,4,0,4,0,3.0,0.0,4.0,5.28607023080379e-05,0.005304614556765799,2
1496,2,2,0.0005289605924358636,0.0005289605924358636,3.0,2.0,6,4,1.5,2,0,2,0,3.0,0.0,4.0,0.0,0.002438453758704526,5
637,7,7,0.0018513620735255225,0.0018513620735255225,2.0,1.8571428571428572,14,13,1.0769230769230769,7,0,7,0,2.0,0.0,2.0,6.115881598059311e-05,0.008003260387970562,5
964,4,6,0.0010579211848717272,0.0015868817773075907,2.5,1.3333333333333333,10,8,1.25,4,0,6,0,2.5,0.0,2.75,0.00012526013678667097,0.004919456230497764,5
594,5,5,0.001322401481089659,0.001322401481089659,3.4,2.8,17,14,1.2142857142857142,5,0,5,0,3.4,0.0,7.4399999999999995,0.00021612601164945982,0.008152848040663649,5
2249,1,1,0.0002644802962179318,0.0002644802962179318,5.0,2.0,5,2,2.5,1,0,1,0,5.0,0.0,0.0,0.0,0.0021331257227617142,5
554,3,4,0.0007934408886537954,0.0010579211848717272,6.666666666666667,3.75,20,15,1.3333333333333333,3,0,4,0,6.666666666666667,0.0,5.5555555555555545,5.8051237992788776e-05,0.0037045879325192104,19
20,57,53,0.015075376884422112,0.014017455699550384,3.5789473684210527,4.018867924528302,204,213,0.9577464788732394,53,4,53,0,4.188679245283019,-4.5,11.226223453370267,0.01487376685080651,0.12135192576825952,10
2227,1,1,0.0002644802962179318,0.0002644802962179318,5.0,2.0,5,2,2.5,1,0,1,0,5.0,0.0,0.0,0.0,0.0021331257227617142,5
1315,2,2,0.0005289605924358636,0.0005289605924358636,4.5,2.5,9,5,1.8,2,0,2,0,4.5,0.0,0.25,2.1144747497620076e-05,0.002161288260268228,5
519,14,15,0.003702724147051045,0.003967204443268977,1.4285714285714286,1.0666666666666667,20,16,1.25,14,0,14,1,1.4285714285714286,0.0,1.102040816326531,0.0006126680128311696,0.005167853712355234,5
1316,1,1,0.0002644802962179318,0.0002644802962179318,5.0,5.0,5,5,1.0,1,0,1,0,5.0,0.0,0.0,0.0,0.005332814306904284,5
2149,3,2,0.0007934408886537954,0.0005289605924358636,2.3333333333333335,1.0,7,2,3.5,3,0,2,0,2.3333333333333335,0.0,3.555555555555556,4.6109804744449884e-06,0.0011385328899056108,5
1724,2,2,0.0005289605924358636,0.0005289605924358636,3.0,1.5,6,3,2.0,2,0,2,0,3.0,0.0,4.0,5.949137730959455e-05,0.00316183812742303,5
18,78,78,0.02062946310499868,0.02062946310499868,2.628205128205128,2.7564102564102564,205,215,0.9534883720930233,78,0,78,0,2.628205128205128,0.0,6.002794214332678,0.009517771987158228,0.013305754826200483,5
57,58,55,0.015339857180640043,0.014546416291986249,2.189655172413793,1.8727272727272728,127,103,1.233009708737864,58,0,55,0,2.189655172413793,0.0,4.498513674197386,0.006894885960551783,0.005438443952217133,5
118,38,36,0.010050251256281409,0.009521290663845544,1.6842105263157894,1.75,64,63,1.0158730158730158,36,2,36,0,2.0833333333333335,-5.5,8.21606648199446,0.0013061249491857834,0.026188188107388294,2
3254,11,10,0.0029092832583972497,0.002644802962179318,1.7272727272727273,0.1,19,1,19.0,11,0,9,1,1.7272727272727273,0.0,0.9256198347107436,0.00025901847481707966,-0.005858664773422149,2
1177,3,2,0.0007934408886537954,0.0005289605924358636,3.0,3.0,9,6,1.5,3,0,2,0,3.0,0.0,2.0,1.526766030746221e-05,0.00224559662724651,5
112,24,21,0.006347527109230363,0.005554086220576567,2.9583333333333335,3.1904761904761907,71,67,1.0597014925373134,24,0,21,0,2.9583333333333335,0.0,7.623263888888888,0.0010038998428771432,0.028417355727411414,3
11,203,203,0.05368950013224015,0.05368950013224015,0.7783251231527094,1.3940886699507389,158,283,0.558303886925795,183,20,183,20,1.9562841530054644,-10.0,16.694702613506763,0.05203785696145742,0.015374845219450187,2
586,7,8,0.0018513620735255225,0.0021158423697434543,2.2857142857142856,1.75,16,14,1.1428571428571428,7,0,8,0,2.2857142857142856,0.0,2.4897959183673466,0.0003201476939256672,0.007541004155740765,10
35,27,82,0.007140967997884159,0.021687384289870406,0.37037037037037035,1.951219512195122,10,160,0.0625,17,10,81,1,2.3529411764705883,-3.0,9.270233196159122,0.002657592846919595,0.024387263036649277,6
15,197,123,0.052102618354932566,0.03253107643480561,0.3299492385786802,2.024390243902439,65,249,0.26104417670682734,152,45,113,10,1.5921052631578947,-3.933333333333333,10.708392383210082,0.05995858952723257,0.033083128742397216,6
1445,2,2,0.0005289605924358636,0.0005289605924358636,4.5,2.0,9,4,2.25,2,0,2,0,4.5,0.0,0.25,0.0,0.006697834384280127,5
152,32,26,0.008463369478973817,0.0068764877016662266,2.53125,1.8846153846153846,81,49,1.653061224489796,32,0,26,0,2.53125,0.0,3.0615234375,0.0008250629935884953,0.021932312939689055,6
2,195,205,0.0515736577624967,0.05421846072467602,2.0358974358974358,3.5853658536585367,397,735,0.5401360544217687,186,9,205,0,2.5376344086021505,-8.333333333333334,9.942301117685734,0.0540203907061372,0.27402565454350686,17
113,38,40,0.010050251256281409,0.010579211848717272,2.4210526315789473,1.65,92,66,1.393939393939394,36,2,33,7,3.111111111111111,-10.0,13.822714681440445,0.0024258962254649656,0.0664005254574157,6
44,50,49,0.013224014810896589,0.012959534514678657,2.7,2.4693877551020407,135,121,1.115702479338843,50,0,49,0,2.7,0.0,2.77,0.011777025513277159,0.03536907564729548,17
2401,2,2,0.0005289605924358636,0.0005289605924358636,2.5,1.0,5,2,2.5,2,0,2,0,2.5,0.0,0.25,5.450948716512422e-06,0.0016866174253651897,5
10,177,164,0.046813012430573925,0.04337476857974081,1.6045197740112995,1.7560975609756098,284,288,0.9861111111111112,166,11,163,1,1.9337349397590362,-3.3636363636363638,4.69105301797057,0.036013884117939966,0.0803165725361022,17
