,out_degree,in_degree,out_degree_centrality,in_degree_centrality,avg_trust_given,avg_trust_received,total_trust_given,total_trust_received,trust_ratio,positive_trust_given_count,negative_trust_given_count,positive_trust_received_count,negative_trust_received_count,positive_trust_given_avg,negative_trust_given_avg,trust_selectivity,betweenness_centrality,eigenvector_centrality,community,cluster,pca_x,pca_y,tsne_x,tsne_y
430,9,6,0.002380322665961386,0.0015868817773075907,3.2222222222222223,3.1666666666666665,29,19,1.5263157894736843,6,3,4,2,7.0,-4.333333333333333,40.617283950617285,0.0005139973695350973,-0.0009759842740657308,5,4,0.8401840577680822,-1.2660874046275257,47.617886,-17.928223
1,490,397,0.12959534514678658,0.10499867759851893,1.2326530612244897,1.8841309823677581,604,748,0.8074866310160428,486,4,397,0,1.2510288065843622,-1.0,0.6642399000416497,0.12135180484989781,0.09963635947406001,5,2,57.03004165535578,7.535192182559259,58.743855,1.9508662
3134,4,3,0.0010579211848717272,0.0007934408886537954,3.25,0.3333333333333333,13,1,13.0,4,0,2,1,3.25,0.0,15.1875,6.926452580346197e-06,0.0007807726384449545,5,3,-0.2740314172801557,1.4547283178711425,11.635349,58.933502
3026,1,1,0.0002644802962179318,0.0002644802962179318,10.0,1.0,10,1,10.0,1,0,1,0,10.0,0.0,0.0,0.0,0.0010665628613808571,5,3,-0.8098039074847162,3.6097664404646896,16.783302,58.47647
3010,1,1,0.0002644802962179318,0.0002644802962179318,10.0,1.0,10,1,10.0,1,0,1,0,10.0,0.0,0.0,0.0,0.0010665628613808571,5,3,-0.8098039074847162,3.6097664404646896,16.783302,58.47647
804,7,7,0.0018513620735255225,0.0018513620735255225,2.7142857142857144,1.4285714285714286,19,10,1.9,7,0,7,0,2.7142857142857144,0.0,9.346938775510205,3.740428083668153e-05,0.0021806777623219254,5,1,0.03879476643741305,0.26448424406692966,28.842062,20.285376
160,10,9,0.002644802962179318,0.002380322665961386,4.1,5.222222222222222,41,47,0.8723404255319149,10,0,9,0,4.1,0.0,11.09,0.00039148956575799586,0.012938371681435292,5,3,0.4171452457646416,1.3259361811405168,32.614056,23.764324
95,122,101,0.03226659613858768,0.02671250991801111,0.16393442622950818,0.7326732673267327,20,74,0.2702702702702703,98,24,90,11,1.653061224489796,-5.916666666666667,14.743617307175489,0.018419424336171525,0.1313499268988243,3,0,14.897129666096586,-2.1111873480759584,55.80402,-0.17273232
377,4,4,0.0010579211848717272,0.0010579211848717272,7.0,5.5,28,22,1.2727272727272727,4,0,4,0,7.0,0.0,13.5,0.00028420227540479695,0.0011807564487852221,5,3,-0.17740817710715553,1.897898047161958,35.955273,27.150854
888,5,4,0.001322401481089659,0.0010579211848717272,2.8,2.25,14,9,1.5555555555555556,5,0,4,0,2.8,0.0,4.5600000000000005,0.0001440978132918638,0.005031417726298791,5,1,-0.25813092965364065,0.626851026056098,20.023016,25.486973
